x_H,C_time
0,0
0.03,-0.0190084
0.06,-0.0311579
0.09,-0.040611
0.12,-0.0482396
0.15,-0.0546784
0.18,-0.0601549
0.21,-0.0647696
0.24,-0.0687292
0.27,-0.072117
0.3,-0.0750542
0.33,-0.0776293
0.36,-0.079794
0.39,-0.0816358
0.42,-0.0832043
0.45,-0.0845661
0.48,-0.085764
0.51,-0.0867675
0.54,-0.0876035
0.57,-0.0883074
0.6,-0.0889272
0.63,-0.0894786
0.66,-0.0899453
0.69,-0.0903242
0.72,-0.0906384
0.75,-0.0909225
0.78,-0.0911776
0.81,-0.0914014
0.84,-0.0915775
0.87,-0.091719
0.9,-0.0918463
0.93,-0.0919669
0.96,-0.0920721
0.99,-0.092152
1.02,-0.0922058
1.05,-0.0922526
1.08,-0.0922884
1.11,-0.092306
1.14,-0.0922913
1.17,-0.0922309
1.2,-0.0921147
1.23,-0.0919072
1.26,-0.0915436
1.29,-0.0909046
1.32,-0.0897651
1.35,-0.0876565
1.38,-0.0834907
1.41,-0.0744368
